Ban Saint-Martin,Bernard Bensaid,bansaintmartin,SGBSM,SUPPORT,32 Avenue de la Liberté ,57050,LE BAN SAINT MARTIN,03 87 31 72 72,bansaintmartin@amapa.fr,798 544 870 00081 ,0 €,30,DG HELP
Le Mans,Bernard Bensaid,lemans,SGLMS,SUPPORT,11 Rue de Pied Sec,72100,LE MANS,02 43 50 20 20,lemans@amapa.fr,791 079 858 00175,0 €,0,DG HELP
Le Vieux-Marché,Patricia Bardet,levieuxmarche,SGLVM,SUPPORT,5 Hent Bechenneg,22420,LE VIEUX MARCHE,02 96 38 85 38,levieuxmarche@amapa.fr,313 256 513 00034,0 €,3,TI-JIKOUR
Tulle,Christelle Bassaler,tulle,SGTLE,SUPPORT,"34 ter, quai de Rigny",19004, TULLE,05 55 26 46 33,tulle@amapa.fr,798 544 870 00073,0 €,2,DG HELP
RESIDENCE Les Myriams,Pascale Roldan,lesmyriams,RELMY,EHPA,110 Montée de la Forclaz,74170,SAINT GERVAIS LES BAINS,04 50 78 00 54,pascale.roldan@amapa.fr,,109 619 €,,MONESTIER
RESIDENCE Vandernoot,Cyril Hoareau,vandernoot,REVDN,EHPA,14 Rue Vandernoot ,57000,METZ,03 87 65 30 69,cyril.hoareau@amapa.fr,780 004 966 00013,139 756 €,,ASTL
RESIDENCE Jacquot,Cyril Hoareau,jacquot,REJAC,EHPA,12 Rue Vandernoot ,57000,METZ,03 87 65 30 69,cyril.hoareau@amapa.fr,780 004 966 00013,115 396 €,,ASTL
RESIDENCE Malraux,Cyril Hoareau,malraux,REMAL,EHPA,25 Avenue André Malraux ,57000,METZ,03 87 65 30 69,cyril.hoareau@amapa.fr,780 004 966 00013,57 109 €,,ASTL
RESIDENCE Soleil,Cyril Hoareau,soleil,RESOL,EHPA,95 Rue Pierre & Marie CURIE ,57000,METZ,03 87 30 41 89,cyril.hoareau@amapa.fr,780 004 966 00013,173 600 €,,ASTL
EHPAD Le Val Montjoie,Pascale Roldan,ehpad.val-montjoie,EHVMJ,EHPAD,139 Montée de la Forclaz,74170,SAINT GERVAIS LES BAINS,04 50 78 00 54,ehpad.val-montjoie@amapa.fr,304 154 800 00029,4 088 468 €,,MONESTIER
EHPAD Les Acacias,Marie-Thérèse Bastien,ehpad.acacias,EHACA,EHPAD,7 Rue Jean Baptiste Charcot,57590,MONTIGNY-LES-METZ,03 87 17 89 89,ehpad.acacias@amapa.fr,791 079 858 00027,2 438 954 €,48,AMAPA
EHPAD La Grange aux bois,Ginette Brinon,ehpad.grange-aux-bois,EHGB1,EHPAD,21 Rue de la Falogne,57070,METZ,03 87 39 74 74,ehpad.grange-aux-bois@amapa.fr,791 079 858 00050,2 849 652 €,46,AMAPA
