Alenya ,Alenya,Stéphanie Garriga,ALE,alenya,518 124 292 00013,Support,CS,,DG HOTELS,66200,Siège social DG Mvacances - Route de Théza,DG Hotels,www.mvacances.com
Lyon,Lyon,Antonis Notaras,LYO,lyon,814 920 153 00016,Support,CS,,DG HOTELS,69003,36 rue maurice flandin,Popinns,www.popinns.org
Montreuil,Montreuil,Jacob Bensaid,MON,montreuil,518 124 292 00013,Support,CS,,DG HOTELS,93100,261 Rue de Paris,DG Hotels,www.popinns.com
Pezenas,a,-,PEZ,pezenas,518 124 292 00013,Support,CS,,DG HOTELS,34120,"3 Rue Jean-Pierre Lagarde, ZAC des Rodettes",DG Hotels,www.popinns.com
Plombières,Plombières -les-Bains,Elisabeth Millotte,PLB,plombieres,53215228700027,Support,CS,-,NSRN,88370,2 avenue des Etats Unis ,NSRN,www.plombieres-les-bains.com
Abbaye de Sainte Croix,Salon -de-Provence,-,ASC,saintecroix,523 822 112 00190,RE,HO, ,Nature et Bien être,13300,Route du Val de Cuech,DG Holidays,abbayesaintecroix.com
Aeronat,Saint-Cyr -L'Ecole,Catherine Frambourt,"ARN
DGC","Aeronat
dgcampus",523 822 971 00025,RE,RE,2*,Grand Paris ,78210,17 Rue de l'Aérostration Maritime,Aéronat,laeronat.com
Abricotiers ex Club de Vacances,Argelès-sur-mer,Ophélie Mafray ,"CVA 
devient --> 
ABR",abricotiers,523 822 112 00364,RE,CA,2*,Mer et océan,66701,Chemin de Nèguebous Taxo d'Avall  ,DG Holidays,lesabriscotiers.com
Améthyste ,Dinard,Agnès Cortyl,AME,,799 023 825 00067,RE,HO,2*,Mer et océan,35800,2 Rue des bains-St Enogat,DG Hotels Grand Ouest,amethyste-dinard.com
Bachat,Chamrousse,Alexandre Néel ,BCH,bachat,523 812 112 00 406,RR,RR,,Montagne et sport,38410,Route de Bachat Bouloud ,DG Holidays,lebachat.com
Bain Romain,Plombières -les-Bains,Christine Vataire,BRO,bainromain,532 152 287 00019,RE,RE,,Nature et Bien être,88370,4 Place du Bain Romain,NSRN,plombieres-les-bains.com
Beauséjour,Plombières -les-Bains,Elisabeth MILLOTTE,BEA,beausejour,532 152 287 00027,RE,RE,2*,Nature et Bien être,88370,26 Avenue Louis Français,NSRN,plombieres-les-bains.com
Calodae,Plombières -les-Bains,Elisabeth MILLOTTE,CAL,calodae,532 152 253 00029,AUTRES,Autres,,Nature et Bien être,88370,7 Place du bain romain,NCTP,plombieres-les-bains.com
Canal Suites,Paris,Shaï Ben-David,CAN,canalsuites,518 126 990 00135,RE,RE,3*,Grand Paris ,75019,30 Route des Petits Ponts,DG Urbans,canalsuites-paris.com 
Carmin,Vitry -sur-Seine,HNID Mohamed,CRM,carmin,518 126 990 00044,RE,"RE, HO",2*,Grand Paris ,94400,1 Avenue Eugène Pelletan,DG Urbans,lecarmin-vitry.com
Carré de Soie,Vaux en Velin ,Amel Belkherroubi,CRS,carredesoie,814 920 153 00057,FJT,RE,na,Popinns,69120,25 Av Roger Salengro,Popinns,www.poppins.org
Castel Albertine,Honfleur,Pascal-Francisco Dorizon,CAS,albertine,799 023 825 00059,RE,HO,3*,,14600,19 Cours Albert Manuel,DG Hotels Grand Ouest,castelalbertine.com
Chalet de l'Eterlou,Serre -Chevalier,Delphine Guillery ,ETL,eterlou,523 822 112 0307,RE,RE,,Montagne et sport,5330,"6 rue du centre 
",DG Holidays,lechaletdeleterlou.com
Château Golf des Sept Tours,Courcelles -de-Touraine,Thi Thuy NGUYEN ,C7T,chateau7tours,523 822 112 00182,RE,HO,NC,Nature et Bien être,37330,Le Vivier des Landes,DG Holidays,chateaudes7tours.com
Chateau des Magnans,Jausiers,Noelle BONIN,CDM,chateaumagnans,523 822 112 00034,RE,"HO, RE",3*,Montagne et sport,04850,Route de Nice,DG Holidays,chateaudesmagnans.com
Clarines,Les Rousses,Florence Foret ,CLA,clarines,523 822 112 00323,RE,RE,5,Montagne et sport,39220,109 chemin des tourbières,DG Holidays,lesclarines-lesrousses.com
Les Clefs du Roy,Buc,Mattia Signorini,CLR,clefsroy,518 126 990 00119,RE,RE,3*,Grand Paris ,78530,132 Chemin des Boulangers,DG Urbans,lesclefsduroy.com
Cocoteraie ,Saint-François,(Christian Succo en remplacement),COC,cocoteraie,383 974 441 00016,RE,HO,4*,Mer et océan,97118,Avenue de l'Europe,La Cocoteraie,lacocoteraie.com
Villa Corneille,Bagnères de Luchon,Corinne SIllières,COR,corneille,523 822 112 00174,RE,HO,3*,,31110,5 Av. Alexandre Dumas,DG Holidays,villacorneille.com
Couvent d'Hérépian,Hérépian,,CDH,herepian,502 223 456 00026,RE,HO,NC,Nature et Bien être,34600,2 Rue du Couvent,Couvent d'Hérépian,couventdherepian.com
Cristallines,Orcières -Merlette 1850,Charlotte Bore,CRI,cristallines,523 822 112 00315,RE,RE,2*,Montagne et sport,05170,Rue du Queyrelet - Merlette,DG Holidays,lescristallines-orcieres.com
Les Sources de Dieulefit,Dieulefit,Bruno Gamba,DLF,sourcesdieulefit,523 822 112 00216,RE,"RE, HO",en cours ,Nature et Bien-être,26220,Place de L'europe,DG Holidays,
Domaine du Mas Blanc,Alénya,Pascal Muzio,MBC,masblanc,523 822 112 00372,RE,CL,pas classé ,Mer et océan,66200,Domaine du Mas Blanc Route de Théza ,DG Holidays,ledomainedumasblanc.com
Eurocéan La Baule Guérande,Guérande,Nathalie Poupard,EUR,eurocean,799 023 825 00034,RE,HO,2*,Mer et océan,44350,7 place de Kerhillier,DG Hotels Grand Ouest,eurocean-labaule.com
Gens de Mer - Boulogne,Boulogne sur mer,Philippe Arnoult,BOU,gdmboulogne,518 126 990  00150,RE,HO,2*,Mer et océan,62200,Quai Chanzy,DG Urbans,
Gens de Mer - Brest,Brest,Nicolas Duval,BRE,gdmbrest,518 126 990 00226,RE,HO,2*,Mer et océan,29200,44 quai de la douane,DG Urbans,www.gdmbrest.com
Gens de Mer - Dunkerque,dunkerque,Marianne H.Gosse,DUN,gdmdunkerque,518 126 990 00184,RE,HO,2*,Mer et océan,59140,1 Quai du risban,DG Urbans,www.gdmdunkerque.com
Gens de Mer - La Rochelle,La Rochelle,Marylise Boulic,ROC,gdmlarochelle,518 126 990 00192,RE,HO,2*,Mer et océan,17000,20 avenue du Général De Gaulle,DG Urbans,www.gdmlarochelle.com
